Date,av_conc_viewers,av_conc_channels,time_watched,active_streamers
2012-09-01 00:00:00+00:00,77798,1986,55742267,0
2012-10-01 00:00:00+00:00,98835,2047,73302625,0
2012-11-01 00:00:00+00:00,109932,2205,78473126,0
2012-12-01 00:00:00+00:00,120537,2457,89458544,0
2013-01-01 00:00:00+00:00,147954,3016,109905163,0
2013-02-01 00:00:00+00:00,165244,3512,110878724,0
2013-03-01 00:00:00+00:00,187862,4224,139362294,0
2013-04-01 00:00:00+00:00,191506,4431,137724732,0
2013-05-01 00:00:00+00:00,195710,4549,135790122,0
2013-06-01 00:00:00+00:00,220370,4615,104381923,0
2013-07-01 00:00:00+00:00,214212,5111,158981006,0
2013-08-01 00:00:00+00:00,225527,5517,167341034,0
2013-09-01 00:00:00+00:00,215156,5224,154912320,0
2013-10-01 00:00:00+00:00,213944,5500,158782105,0
2013-11-01 00:00:00+00:00,260789,6030,187246502,0
2013-12-01 00:00:00+00:00,252300,6570,187290700,0
2014-01-01 00:00:00+00:00,290262,6898,214310110,0
2014-02-01 00:00:00+00:00,302912,7156,200881141,0
2014-03-01 00:00:00+00:00,311146,8111,181449976,0
2014-04-01 00:00:00+00:00,310585,7772,221757690,0
2014-05-01 00:00:00+00:00,330124,8200,243631512,0
2014-06-01 00:00:00+00:00,352506,8313,251748035,0
2014-07-01 00:00:00+00:00,363765,9174,269004218,0
2014-08-01 00:00:00+00:00,392652,10008,289973502,0
2014-09-01 00:00:00+00:00,383753,9748,274767148,0
2014-10-01 00:00:00+00:00,380295,9968,240599970,0
2014-11-01 00:00:00+00:00,392835,11203,279960410,0
2014-12-01 00:00:00+00:00,395772,11503,293333014,0
2015-01-01 00:00:00+00:00,493468,14142,360642863,1533653
2015-02-01 00:00:00+00:00,512584,15336,338903455,1644386
2015-03-01 00:00:00+00:00,522739,14669,380728238,1567997
2015-04-01 00:00:00+00:00,504390,14547,350298855,1538170
2015-05-01 00:00:00+00:00,516814,15076,377877170,1599500
2015-06-01 00:00:00+00:00,518666,15293,368685082,1591172
2015-07-01 00:00:00+00:00,550079,16399,404583105,1677091
2015-08-01 00:00:00+00:00,598394,17516,439420661,1816317
2015-09-01 00:00:00+00:00,506181,16723,361919415,1793262
2015-10-01 00:00:00+00:00,589628,15606,436619534,1678050
2015-11-01 00:00:00+00:00,581150,17584,406611283,2113999
2015-12-01 00:00:00+00:00,543112,17359,393303607,1872032
2016-01-01 00:00:00+00:00,618700,18954,390709050,0
2016-02-01 00:00:00+00:00,593219,19051,331609421,0
2016-03-01 00:00:00+00:00,615139,18643,359753792,0
2016-04-01 00:00:00+00:00,522493,16661,351463625,0
2016-05-01 00:00:00+00:00,593981,18992,418261621,0
2016-06-01 00:00:00+00:00,619838,18789,445043684,0
2016-07-01 00:00:00+00:00,599655,18003,445943435,0
2016-08-01 00:00:00+00:00,513664,16574,382166016,0
2016-09-01 00:00:00+00:00,534140,17870,361612780,0
2016-10-01 00:00:00+00:00,608446,19207,450351448,0
2016-11-01 00:00:00+00:00,623095,20675,443851338,0
2016-12-01 00:00:00+00:00,659345,22284,489233990,1850334
2017-01-01 00:00:00+00:00,811003,24137,601088390,1942933
2017-02-01 00:00:00+00:00,744805,24188,500260692,1894405
2017-03-01 00:00:00+00:00,701500,23230,393892250,1953138
2017-04-01 00:00:00+00:00,743596,22052,534149793,1804061
2017-05-01 00:00:00+00:00,683590,22371,498109247,1804282
2017-06-01 00:00:00+00:00,709304,23379,509162055,1921765
2017-07-01 00:00:00+00:00,760689,25745,565952616,2386623
2017-08-01 00:00:00+00:00,717126,24683,533541744,2142869
2017-09-01 00:00:00+00:00,732925,25014,527706000,1950271
2017-10-01 00:00:00+00:00,786585,25692,584825948,2048513
2017-11-01 00:00:00+00:00,800069,26759,574849577,2115552
2017-12-01 00:00:00+00:00,780131,28610,580287442,2460341
2018-01-01 00:00:00+00:00,967829,33546,719903471,2969173
2018-02-01 00:00:00+00:00,915659,35496,610286724,2890347
2018-03-01 00:00:00+00:00,971728,39026,707417984,3695563
2018-04-01 00:00:00+00:00,1011491,39397,728273520,3315212
2018-05-01 00:00:00+00:00,1024200,38705,761834100,3062437
2018-06-01 00:00:00+00:00,1095466,39699,788552942,3153852
2018-07-01 00:00:00+00:00,1076453,41842,774687342,2957895
2018-08-01 00:00:00+00:00,1150353,44340,854137103,3712170
2018-09-01 00:00:00+00:00,1132031,44195,815062320,3670836
2018-10-01 00:00:00+00:00,1145919,43507,850844858,3646616
2018-11-01 00:00:00+00:00,1202989,45448,866152080,3743470
2018-12-01 00:00:00+00:00,1136970,48134,845905680,4122463
2019-01-01 00:00:00+00:00,1276009,55794,949138028,4537807
2019-02-01 00:00:00+00:00,1311802,56286,880000508,4205001
2019-03-01 00:00:00+00:00,1273772,54934,947049482,4389867
2019-04-01 00:00:00+00:00,1234112,51261,888560640,4184467
2019-05-01 00:00:00+00:00,1262560,48294,939344640,3933404
2019-06-01 00:00:00+00:00,1304579,47898,939296880,3396947
2019-07-01 00:00:00+00:00,1232340,48045,916860960,3355426
2019-08-01 00:00:00+00:00,1342559,48434,998863896,3188759
2019-09-01 00:00:00+00:00,1219579,46184,878096880,2942889
2019-10-01 00:00:00+00:00,1211344,45179,901239936,2973666
2019-11-01 00:00:00+00:00,1222247,45644,880017840,3198707
2019-12-01 00:00:00+00:00,1183198,45554,880299312,3353608
2020-01-01 00:00:00+00:00,1357375,52821,1009887000,3935308
2020-02-01 00:00:00+00:00,1410516,53816,981719136,3753539
2020-03-01 00:00:00+00:00,1637064,65976,1217975616,5080031
2020-04-01 00:00:00+00:00,2486264,93618,1790110080,7213644
2020-05-01 00:00:00+00:00,2359765,100364,1755665160,7398081
2020-06-01 00:00:00+00:00,2283469,93626,1371223135,0
